+------------+------------+-----------+
|Vehicle Year|Vehicle Make|Num Tickets|
|        2022|       LINCO|       5081|
|        2015|       MAZDA|       5045|
|        2005|       DODGE|       5025|
|        2015|       ISUZU|       4955|
|        2011|         GMC|       4950|
|        2010|        JEEP|       4944|
|        2012|       FRUEH|       4943|
|        2014|       INTER|       4939|
|        2017|       CADIL|       4935|
|        2009|       LEXUS|       4907|
|        2005|       LEXUS|       4880|
|        2022|       INFIN|       4861|
|        2010|       VOLKS|       4835|
|        2018|       VOLVO|       4761|
|        2018|       TESLA|       4720|
|        1999|       TOYOT|       4691|
|        2018|       CHRYS|       4687|
|        2004|        JEEP|       4660|
|        2010|        AUDI|       4643|
|        2008|       CHRYS|       4634|
|        2006|       INFIN|       4630|
|        2018|       MITSU|       4569|
|        2012|       MAZDA|       4542|
|        2013|         RAM|       4540|
|        2005|         BMW|       4536|
|        2023|       TOYOT|       4515|
|        2008|         GMC|       4506|
|        2009|       DODGE|       4498|
|        2023|       CHEVR|       4495|
|        2012|         GMC|       4484|
|        2014|       CHRYS|       4476|
|        2014|         GMC|       4448|
|        2012|       LEXUS|       4417|
|        2005|         GMC|       4415|
|        2002|       NISSA|       4341|
|        2005|        JEEP|       4321|
|        2022|       FRUEH|       4317|
|        2007|       WORKH|       4305|
|        2017|       CHRYS|       4286|
|        2009|       SUBAR|       4261|
|        2009|         GMC|       4218|
|        2019|         NIU|       4200|
|        2013|       FRUEH|       4152|
|        2016|       CADIL|       4145|
|        2012|       CHRYS|       4135|
|        2016|       CHRYS|       4115|
|        2013|         GMC|       4110|
|        2018|       PORSC|       4105|
|        2010|       CHRYS|       4063|
|        2006|       HYUND|       4060|
|        2013|       CHRYS|       4059|
|        2015|       CADIL|       4048|
|        2004|         GMC|       4043|
|        2009|        JEEP|       3994|
|        2009|       VOLKS|       3965|
|        2009|        AUDI|       3947|
|        2016|       ISUZU|       3888|
|        2014|       ISUZU|       3872|
|        2006|       CHRYS|       3861|
|        2019|       TESLA|       3860|
|        2008|        AUDI|       3849|
|        2017|       KENWO|       3845|
|        2013|       MAZDA|       3801|
|        2016|       VOLVO|       3792|
|        2003|       ME/BE|       3791|
|        2008|       MAZDA|       3784|
|        2003|         BMW|       3781|
|        2019|       PORSC|       3780|
|        1998|       TOYOT|       3718|
|        1997|       INTER|       3704|
|        2006|         GMC|       3687|
|        2008|       SUBAR|       3675|
|        2005|       FRUEH|       3671|
|        2005|       CHRYS|       3640|
|        2013|       CADIL|       3618|
|        2005|       ME/BE|       3591|
|        2015|       ROVER|       3589|
|        2008|       VOLKS|       3583|
|        2017|       PORSC|       3568|
|        2007|       CHRYS|       3567|
|        1999|        FORD|       3556|
|        2011|       MAZDA|       3546|
|        2023|       ROVER|       3475|
|        2001|       CHEVR|       3473|
|        2013|       ISUZU|       3449|
|        2022|       ALFAR|       3441|
|        2021|       BUICK|       3404|
|        2011|       LINCO|       3375|
|        2011|       FRUEH|       3367|
|        2006|       SUBAR|       3354|
|        2002|       LEXUS|       3350|
|        2004|       ME/BE|       3337|
|        2004|       INTER|       3331|
|        2012|       WORKH|       3330|
|        2021|       ALFAR|       3328|
|        2014|       ROVER|       3319|
|        2015|       MITSU|       3313|
|        2016|       INTER|       3311|
|        2001|       NISSA|       3277|
|        2019|       BUICK|       3256|
|        2003|         GMC|       3249|
|        2013|       PETER|       3242|
|        2023|       MAZDA|       3210|
|        2023|       ME/BE|       3200|
|        2004|       INFIN|       3192|
|        1999|       HONDA|       3182|
|        2019|        MINI|       3173|
|        2003|       LEXUS|       3171|
|        2017|       MITSU|       3171|
|        2007|       CADIL|       3111|
|        2017|       VOLVO|       3109|
|        2005|       HYUND|       3102|
|        2018|       LINCO|       3087|
|        2007|       VOLKS|       3087|
|        2002|         BMW|       3032|
|        2015|       INTER|       3030|
|        2023|       FRUEH|       3014|
|        2011|       CADIL|       2984|
|        2003|       ACURA|       2964|
|        2001|         BMW|       2953|
|        2023|       ACURA|       2934|
|        2014|       CADIL|       2922|
|        2010|         GMC|       2912|
|        2017|       LINCO|       2907|
|        2005|       INFIN|       2900|
|        2020|       BUICK|       2899|
|        2020|       ALFAR|       2898|
|        2007|        AUDI|       2866|
|        1998|       HONDA|       2865|
|        2021|       ISUZU|       2806|
|        2022|       ISUZU|       2804|
|        2013|       KENWO|       2802|
|        2016|       SMART|       2779|
|        1997|       TOYOT|       2773|
|        2020|         NIU|       2732|
|        2011|       WORKH|       2722|
|        2020|        MINI|       2663|
|        2023|        JEEP|       2654|
|        2008|       CADIL|       2634|
|        2009|       MAZDA|       2609|
|        2007|       MITSU|       2591|
|        2023|       CADIL|       2589|
|        2005|       INTER|       2555|
|        2008|       FRUEH|       2552|
|        2007|       MAZDA|       2545|
|        2005|       SUBAR|       2544|
|        2022|        MINI|       2537|
|        2023|       TESLA|       2525|
|        2001|       LEXUS|       2514|
|        2011|       ROVER|       2511|
|        2002|         GMC|       2510|
|        2014|         HIN|       2508|
|        2002|       ME/BE|       2504|
|        2004|       HYUND|       2494|
|        2016|       PORSC|       2484|
|        2019|       INTER|       2479|
|        2020|       JAGUA|       2476|
|        2008|       ROVER|       2450|
|        2012|       CADIL|       2448|
|        2019|       ALFAR|       2437|
|        2021|        Ford|       2434|
|        2009|       FRUEH|       2419|
|        2002|       ACURA|       2393|
|        2016|       MITSU|       2382|
|        2013|       ROVER|       2368|
|        2012|        FIAT|       2360|
|        2013|       VOLVO|       2350|
|        2018|       ALFAR|       2331|
|        2021|       Chevr|       2329|
|        2007|       SUBAR|       2328|
|        2006|       VOLKS|       2283|
|        2011|       CHRYS|       2261|
|        2009|       CHRYS|       2258|
|        2014|       LINCO|       2225|
|        2003|       INFIN|       2222|
|        2004|       DODGE|       2220|
|        1998|        FORD|       2213|
|        2012|       VOLVO|       2207|
|        2010|         KIA|       2198|
|        2018|       INTER|       2183|
|        2017|        MINI|       2172|
|        2006|        AUDI|       2168|
|        2008|       VOLVO|       2164|
|        2001|       ME/BE|       2124|
|        2007|       VOLVO|       2091|
|        2010|       CADIL|       2060|
|        2003|       DODGE|       2058|
|        2009|       UTILI|       2055|
|        2023|        AUDI|       2049|
|        2018|       BUICK|       2046|
|        2016|       BUICK|       2036|
|        2012|       ROVER|       2036|
|        2007|         KIA|       2020|
|        2004|       SUBAR|       2007|
|        2013|        MINI|       2006|
|        1999|       CHEVR|       1987|
|        2015|       VOLVO|       1984|
|        2020|       INTER|       1978|
|        2023|       SUBAR|       1978|
|        2002|        JEEP|       1977|
|        2006|       ROVER|       1971|
|        2008|         KIA|       1964|
|        2007|       LINCO|       1952|
|        2022|       GENES|       1951|
|        2015|       LINCO|       1936|
|        2010|       VOLVO|       1935|
|        2013|       LINCO|       1918|
|        2022|       BUICK|       1909|
|        2009|         KIA|       1900|
|        2009|       CADIL|       1882|
|        2022|       Chevr|       1875|
|        2015|        MINI|       1852|
|        2001|       FRUEH|       1851|
|        2016|        MINI|       1830|
|        2017|       BUICK|       1822|
|        2018|       JAGUA|       1818|
|        2017|       INTER|       1812|
|        2010|       LINCO|       1810|
|        2006|       MITSU|       1809|
|        2016|       LINCO|       1796|
|        2014|       PETER|       1792|
|        2017|        MASE|       1786|
|        2012|        MINI|       1780|
|        1998|       INTER|       1759|
|        2003|        JEEP|       1759|
|        2010|         HIN|       1750|
|        2015|       PORSC|       1738|
|        2010|       MITSU|       1732|
|        2011|       MITSU|       1723|
|        1997|        FORD|       1712|
|        2013|        FIAT|       1708|
|        2011|       BUICK|       1707|
|        2006|       VOLVO|       1692|
|        2003|       HYUND|       1692|
|        2007|         HIN|       1692|
|        2012|       ISUZU|       1687|
|        2014|       MITSU|       1685|
|        2002|       DODGE|       1680|
|        2021|        MINI|       1673|
|        2023|       VOLVO|       1672|
|        2003|       SUBAR|       1668|
|        2001|        JEEP|       1668|
|        2001|       INTER|       1654|
|        2008|       MERCU|       1646|
|        2008|       MITSU|       1629|
|        1997|       HONDA|       1626|
|        2007|       ISUZU|       1626|
|        2011|       KENWO|       1619|
|        2008|       SATUR|       1618|
|        2012|       INTER|       1613|
|        2019|       JAGUA|       1612|
|        2022|       INTER|       1605|
|        1999|       ME/BE|       1604|
|        1999|       LEXUS|       1594|
|        2006|       MAZDA|       1592|
|        2013|       BUICK|       1585|
|        1995|       INTER|       1582|
|        2008|       LINCO|       1563|
|        2005|       CADIL|       1549|
|        2005|       MAZDA|       1542|
|        2010|       INTER|       1538|
|        2003|       VOLKS|       1534|
|        2015|       BUICK|       1526|
|        2012|         HIN|       1502|
|        2017|       JAGUA|       1497|
|        2004|       VOLVO|       1496|
|        2011|       VOLVO|       1492|
|        2004|       MITSU|       1490|
|        2006|       CADIL|       1477|
|        2004|       CADIL|       1477|
|        2009|       MITSU|       1470|
|        2006|         KIA|       1459|
|        2007|       KENWO|       1455|
|        2004|       LINCO|       1452|
|        2005|       VOLVO|       1444|
|        2014|       BUICK|       1440|
|        1996|       TOYOT|       1415|
|        2014|       PORSC|       1412|
|        2004|       VOLKS|       1404|
|        2018|        MINI|       1401|
|        2009|       WORKH|       1394|
|        2021|       GENES|       1391|
|        2011|       INTER|       1390|
|        2010|       ROVER|       1370|
|        2011|       ISUZU|       1346|
|        2001|       ACURA|       1339|
|        2003|       MITSU|       1333|
|        2023|         GMC|       1329|
|        2001|         GMC|       1327|
|        1998|       FRUEH|       1325|
|        2012|       BUICK|       1302|
|        2018|        MASE|       1286|
|        1999|       FRUEH|       1285|
|        2009|       LINCO|       1281|
|        2017|       TESLA|       1277|
|        2006|       LINCO|       1276|
|        2006|       MERCU|       1272|
|        2007|       INTER|       1265|
|        2019|        MASE|       1256|
|        2002|       SUBAR|       1254|
|        2012|       MITSU|       1251|
|        2004|       MERCU|       1244|
|        2015|        FIAT|       1235|
|        2022|        Ford|       1234|
|        1999|       NISSA|       1232|
|        2023|        FORD|       1228|
|        2008|       WORKH|       1228|
|        2021|       Gener|       1212|
|        2005|       MERCU|       1210|
|        1998|       CHEVR|       1209|
|        2021|       JAGUA|       1203|
|        2016|        FIAT|       1201|
|        2005|       MITSU|       1188|
|        2003|       LINCO|       1188|
|        2005|        AUDI|       1179|
|        2005|       VOLKS|       1151|
|        2006|         HIN|       1151|
|        2014|       VOLVO|       1148|
|        2004|       MAZDA|       1126|
|        2010|       FRUEH|       1121|
|        2007|       MERCU|       1119|
|        1997|       CHEVR|       1111|
|        2011|        MINI|       1109|
|        2022|          NS|       1108|
|        2009|       VOLVO|       1093|
|        2020|       KENWO|       1090|
|        2007|       SATUR|       1086|
|        2003|       MERCU|       1085|
|        2023|        MINI|       1082|
|        2002|       INTER|       1080|
|        2023|       PORSC|       1071|
|        2012|       LINCO|       1062|
|        2013|       PORSC|       1062|
|        2022|        GENE|       1059|
|        2006|       INTER|       1058|
|        1995|       TOYOT|       1057|
|        2014|        MINI|       1053|
|        2001|       DODGE|       1049|
|        2022|        MASE|       1032|
|        2017|        FIAT|       1019|
|        2014|        FIAT|       1010|
|        1999|        JEEP|       1010|
|        2008|       SMART|       1006|
|        2019|          NS|       1005|
|        2009|        MINI|       1001|
|        2016|       TESLA|       1000|
|        2010|       MERCU|        986|
|        2004|       CHRYS|        982|
|        2021|       INTER|        981|
|        2010|       BUICK|        981|
|        2002|       CHRYS|        979|
|        1996|       INTER|        974|
|        2008|       BUICK|        972|
|        2002|       HYUND|        964|
|        2008|       SUZUK|        962|
|        2002|       VOLKS|        949|
|        2009|       PONTI|        948|
|        2004|        AUDI|        942|
|        2015|       SMART|        929|
|        2011|       PORSC|        927|
|        2013|       MITSU|        925|
|        2022|       Gener|        919|
|        1998|       NISSA|        918|
|        2017|       PETER|        911|
|        2009|       ROVER|        900|
|        2003|       CADIL|        898|
|        2003|       CHRYS|        893|
|        2017|       SMART|        885|
|        2023|       VOLKS|        880|
|        2020|          NS|        873|
|        2023|       LEXUS|        871|
|        2008|       ISUZU|        862|
|        2006|        MINI|        862|
|        2012|       PORSC|        858|
|        2007|       PONTI|        856|
|        1994|       TOYOT|        851|
|        2017|          NS|        847|
|        2008|       PONTI|        834|
|        2015|        MASE|        829|
|        2003|       MAZDA|        827|
|        2021|          NS|        826|
|        1996|        FORD|        820|
|        2016|          NS|        820|
|        2006|       PORSC|        819|
|        2008|         HIN|        811|
|        2005|       LINCO|        798|
|        1999|         GMC|        796|
|        1999|         BMW|        790|
|        1995|        FORD|        789|
|        1998|       LEXUS|        785|
|        2010|       ISUZU|        768|
|        2005|       BUICK|        766|
|        2010|        MINI|        762|
|        2002|       CADIL|        758|
|        2005|         KIA|        757|
|        2009|       INTER|        753|
|        2021|        MASE|        752|
|        2008|        MINI|        752|
|        2007|       SUZUK|        751|
|        1998|         BMW|        749|
|        2009|         HIN|        746|
|        2013|       SMART|        746|
|        2017|       ALFAR|        741|
|        1999|       INTER|        735|
|        2010|       KENWO|        733|
|        1998|        JEEP|        729|
|        2009|       MERCU|        726|
|        2001|       SUBAR|        720|
|        2006|       PONTI|        720|
|        2011|         HIN|        718|
|        1998|       ME/BE|        718|
|        1996|       HONDA|        718|
|        2008|       PORSC|        715|
|        2007|       ROVER|        713|
|        2015|       KENWO|        710|
|        2001|       VOLKS|        701|
|        2002|       MERCU|        692|
|        2006|       ISUZU|        691|
|        2001|       MITSU|        690|
|        2023|       GENES|        684|
|        2002|       MITSU|        677|
|        2023|       INTER|        663|
|        2021|        GENE|        660|
|        2019|       GENES|        658|
|        2004|       BUICK|        655|
|        1997|       ME/BE|        652|
|        2013|       INTER|        641|
|        1995|       CHEVR|        638|
|        2009|       PORSC|        636|
|        2004|       SATUR|        624|
|        2003|       ISUZU|        624|
|        2018|          NS|        619|
|        2002|       MAZDA|        613|
|        2005|       SATUR|        612|
|        2007|       BUICK|        611|
|        2016|        MASE|        610|
|        2019|       KENWO|        604|
|        2002|       INFIN|        603|
|        2001|       INFIN|        595|
|        2005|       PONTI|        595|
|        2009|       BUICK|        589|
|        2021|         HIN|        588|
|        2006|       SATUR|        587|
|        2021|       Toyot|        586|
|        1997|       NISSA|        581|
|        2003|       BUICK|        577|
|        2001|       CHRYS|        577|
|        2006|       BUICK|        573|
|        1996|       CHEVR|        564|
|        2009|       SATUR|        560|
|        2006|       HUMME|        560|
|        2020|       Nissa|        559|
|        2003|        AUDI|        556|
|        2014|        MASE|        553|
|        2003|       INTER|        552|
|        2009|       SMART|        551|
|        2007|        MINI|        547|
|        2005|       ISUZU|        537|
|        2021|         NIU|        535|
|        2004|       ROVER|        534|
|        1999|       DODGE|        533|
|        2013|          NS|        532|
|        2008|       INTER|        532|
|        2022|       BENTL|        526|
|        2002|        AUDI|        520|
|        2021|       Nissa|        519|
|        2005|        MINI|        519|
|        2006|       KENWO|        514|
|        1993|       HONDA|        512|
|        1995|       HONDA|        511|
|        2009|       SUZUK|        509|
|        2006|       SUZUK|        509|
|        2014|       KENWO|        508|
|        1997|       LEXUS|        505|
|        2001|       MAZDA|        504|
|        2023|          NS|        502|
|        1997|        JEEP|        501|
|        2002|       BUICK|        499|
|        2018|       KENWO|        495|
|        2001|        AUDI|        493|
|        1997|         BMW|        491|
|        2020|       Chevr|        491|
|        2005|       KENWO|        488|
|        2004|       PONTI|        487|
|        2003|       VOLVO|        482|
|        2009|       ISUZU|        476|
|        2023|       MITSU|        476|
|        2005|       PORSC|        474|
|        2004|         KIA|        469|
|        1993|       TOYOT|        467|
|        2022|       KENWO|        467|
|        2020|        MASE|        461|
|        2018|        FIAT|        457|
|        2004|       PORSC|        457|
|        2007|       HUMME|        445|
|        2021|        null|        444|
|        2003|       FRUEH|        435|
|        2010|       PORSC|        431|
